vo2,vco2,ve,va,vq_global,po2_art,so2_art,ph_art,pco2_art,mean_qt_1,mean_qt_2,log_sd_1,log_sd_2,qt_ratio,distance,solution,qt,shunt,fio2,hb,be,dead_space,po2_ven,pco2_ven
244.85963687782703,213.27266070276707,6.162561996580926,4.3137933976066485,0.8627586795213297,87.0,96.27780906159464,7.375593247374441,43.93547406934767,0.8734512063775994,0.8605873371422981,0.42,0.365,0.705,3.00069385238257,1.0,5.0,0.02,0.21,14.0,0.0,0.3,40.0,50.0
251.46242058051928,235.10306770082323,6.903054494565351,4.832138146195746,0.9664276292391489,92.0,96.87773536572409,7.380436092384317,43.14700018215684,0.9879190005121861,0.8682827438597969,0.325,0.845,0.015,2.1743064846613662,2.0,5.0,0.02,0.21,14.0,0.0,0.3,40.0,50.0
247.0845725409671,239.81742709683047,7.371477031670527,5.160033922169369,1.0320067844338738,88.0,96.46292423900395,7.382076122652104,42.92169121450497,0.7861191877524372,1.452972763003703,0.35,0.565,0.3,2.2721685317941915,3.0,5.0,0.02,0.21,14.0,0.0,0.3,40.0,50.0
247.5378969554452,230.1742312452994,7.537807236119643,5.27646506528375,1.05529301305675,89.0,96.55398638308446,7.3796393855916005,43.296821520099535,0.9118541347815942,2.0168016498851653,0.375,1.995,0.005,1.2224810733075295,4.0,5.0,0.02,0.21,14.0,0.0,0.3,40.0,50.0
245.05612526284182,236.05491297147586,7.364589061389231,5.155212342972462,1.0310424685944926,87.0,96.33638701918264,7.3813392267269435,43.04785079450097,0.9186439527188502,0.9633121822259074,0.305,0.96,0.12,3.14747328972502,5.0,5.0,0.02,0.21,14.0,0.0,0.3,40.0,50.0
243.9840026346161,234.98810463091075,7.033379720520488,4.923365804364341,0.9846731608728684,86.0,96.20946602742671,7.381120652596803,43.08308851285422,1.1442316159869248,0.7419215340032166,0.32,0.64,0.455,4.1037454447443364,6.0,5.0,0.02,0.21,14.0,0.0,0.3,40.0,50.0
249.40280389912567,244.8940453698487,7.390352457460744,5.1732467202225205,1.0346493440445044,90.0,96.69566791085045,7.383099707172313,42.750473436050065,1.0498820195470735,0.8891419195225196,0.49,0.405,0.505,1.249526563949935,7.0,5.0,0.02,0.21,14.0,0.0,0.3,40.0,50.0
246.1403881697656,223.44011891321856,6.520509492330091,4.564356644631063,0.9128713289262127,88.0,96.42312889064502,7.378016837526853,43.55091012031495,0.9519455203074452,0.36288728965363737,0.375,0.545,0.035,2.0498004098047033,8.0,5.0,0.02,0.21,14.0,0.0,0.3,40.0,50.0
244.50492090749646,240.0869952264948,7.2955845985611125,5.1069092189927785,1.0213818437985558,86.0,96.22244154046464,7.382362504104296,42.889934644365376,0.7907985708049696,1.7412879021590046,0.48,0.31,0.465,4.151173941643523,9.0,5.0,0.02,0.21,14.0,0.0,0.3,40.0,50.0
243.54097481054532,219.5156581752929,6.443826884224926,4.510678818957448,0.9021357637914894,86.0,96.16908785910996,7.377285915937351,43.679062380279575,0.9647425249465181,0.7931486972712184,0.44,0.48,0.83,4.01285446481078,10.0,5.0,0.02,0.21,14.0,0.0,0.3,40.0,50.0
244.0383190058311,234.1152275723619,7.604355115015536,5.323048580510875,1.064609716102175,86.0,96.20774571736597,7.380956358165901,43.11228794945802,0.899758677920081,5.834880001524143,0.505,1.3,0.005,4.097320183324394,11.0,5.0,0.02,0.21,14.0,0.0,0.3,40.0,50.0
254.27803205041198,252.40946284310758,7.564140976485047,5.294898683539532,1.0589797367079066,94.0,97.10014328488384,7.384509678164808,42.50734304913859,1.0671576088053416,0.9227420873460086,0.345,1.17,0.005,4.2694290921568046,12.0,5.0,0.02,0.21,14.0,0.0,0.3,40.0,50.0
245.975564169769,224.10140952057773,6.574579040348958,4.6022053282442705,0.9204410656488541,88.0,96.42495608520059,7.3782021231569175,43.52359565275923,0.9633121822259074,0.5465347844350497,0.41,0.345,0.135,2.0559574660167237,13.0,5.0,0.02,0.21,14.0,0.0,0.3,40.0,50.0
243.64520001447633,216.29958521385186,6.468106576195877,4.527674603337114,0.9055349206674228,86.0,96.16062568429125,7.376487895731586,43.80386719449877,0.8682827438597969,0.7012484688615134,0.4,1.515,0.01,4.004805622922763,14.0,5.0,0.02,0.21,14.0,0.0,0.3,40.0,50.0
245.44934783452862,218.57864769406632,6.356381792805304,4.449467254963713,0.8898934509927425,87.0,96.2908724177501,7.376865969231747,43.732828300923686,0.8379079210744348,1.1561775486519716,0.415,0.315,0.295,3.0118732902941523,15.0,5.0,0.02,0.21,14.0,0.0,0.3,40.0,50.0
244.54918284516918,242.60865113170843,7.466009287836921,5.226206501485844,1.0452413002971688,86.0,96.22913251522704,7.383004718471254,42.7924037238035,1.0390343604428336,0.8255675203179614,0.325,0.85,0.23,4.178311712436454,16.0,5.0,0.02,0.21,14.0,0.0,0.3,40.0,50.0
245.69256745428535,229.2225069763379,6.807978591790204,4.765585014253142,0.9531170028506285,87.0,96.3179342956074,7.3795183109329985,43.320480479855526,0.9227420873460086,0.9227420873460086,0.5,0.445,0.855,3.0759952500381686,17.0,5.0,0.02,0.21,14.0,0.0,0.3,40.0,50.0
244.58777479753167,223.21020396048894,6.866862503967009,4.806803752776906,0.9613607505553812,87.0,96.30412497651415,7.378162180724099,43.54129256905269,0.8403980489708371,3.961424873594126,0.39,0.59,0.025,3.0348661432106487,18.0,5.0,0.02,0.21,14.0,0.0,0.3,40.0,50.0
251.97964544083504,240.93057881146507,7.1228233833785035,4.985976368364952,0.9971952736729903,92.0,96.88979019224772,7.381847330061485,42.926582790531654,1.0071592482200025,0.28918994275905097,0.375,1.825,0.0,2.269851207806981,19.0,5.0,0.02,0.21,14.0,0.0,0.3,40.0,50.0
242.66594765925066,209.16005339024437,6.159611105613113,4.311727773929179,0.862345554785836,86.0,96.14259197236966,7.374793668685486,44.075520524843476,0.8038109960498042,1.1682481984680249,0.345,0.815,0.055,4.000712855188764,20.0,5.0,0.02,0.21,14.0,0.0,0.3,40.0,50.0
251.3044116391921,249.6399781300031,7.697143181212453,5.388000226848717,1.0776000453697434,92.0,96.90924942001139,7.384138301959455,42.584244177735215,0.9296129787936018,2.534522374250118,0.35,0.47,0.08,2.4503804905109403,21.0,5.0,0.02,0.21,14.0,0.0,0.3,40.0,50.0
